period,mean_rarity,median_rarity,rare_word_ratio,std_rarity,word_count
2006-Q3,2.1677803203661328,1.98,0.02288329519450801,1.2289116754162066,874
2006-Q4,2.394151994999479,2.25,0.0464110844879675,1.416970594036787,19198
2007-Q1,2.4943946160135857,2.45,0.05226743820366061,1.4774740614901485,31798
2007-Q2,2.3852923307706733,2.26,0.04354022126382899,1.4259997712814658,26665
2007-Q3,2.4197790393726515,2.3200000000000003,0.046642705440287535,1.4487483810566408,24484
2007-Q4,2.416194104560623,2.3099999999999996,0.04516129032258064,1.4380352137570513,17980
2008-Q1,2.3607189956216703,2.24,0.03919396528986654,1.394810079353585,18957
2008-Q2,2.3401011406166456,2.1900000000000004,0.03635715558723935,1.3695213997242777,22444
2008-Q3,2.3694198702482443,2.24,0.04310760817114364,1.4058564159393163,18651
2008-Q4,2.3450395102466133,2.2199999999999998,0.03729593608891976,1.3742249444009242,23032
2009-Q1,2.333507830751925,2.1900000000000004,0.037639525828502204,1.3936479339086765,11557
2009-Q2,2.3808807039401962,2.25,0.042205263977573584,1.4359972698810874,12842
2009-Q3,2.4125964599516108,2.3099999999999996,0.0452693238252897,1.4640845502833508,15706
2009-Q4,2.33273762027693,2.185,0.03696315418915747,1.371658669006902,8522
2010-Q1,2.323006856730422,2.16,0.035943702634428004,1.389502015958538,13855
2010-Q2,2.370432966198253,2.2,0.046841372325610836,1.4254846178237273,7899
2010-Q3,2.3089150227617603,2.1100000000000003,0.03566009104704097,1.382430824191274,1318
2010-Q4,2.2715423270197137,2.09,0.03015075376884422,1.3277805747862639,5174
2011-Q1,2.2758130911435943,2.0,0.0404664660361135,1.4013645868141735,18608
2011-Q2,2.318843267108168,2.25,0.03443708609271523,1.354977931992013,2265
2011-Q3,2.319039491962691,2.2199999999999998,0.030760071442746575,1.3398802089101967,5039
2011-Q4,2.339920028434334,2.2199999999999998,0.038919495290563356,1.3909846097171668,5627
2012-Q1,2.3100677277345074,2.0999999999999996,0.0372502539790044,1.3524247187413672,2953
2012-Q2,2.3455156343956705,2.21,0.04299458809380637,1.3548803975509325,6652
2012-Q3,2.405674709562109,2.2800000000000002,0.04438486744116771,1.4327015562963605,6714
2012-Q4,2.4053825412874956,2.2800000000000002,0.045837546343107514,1.434984329962584,5934
2013-Q1,2.391614045023361,2.2800000000000002,0.04757185332011893,1.445063756207806,7063
2013-Q2,2.442246646193632,2.33,0.05543882333925974,1.4936040662689558,6187
2013-Q3,2.449070521480681,2.2800000000000002,0.0524182653336936,1.4955844224979977,3701
2013-Q4,2.396979886863608,2.26,0.04483553320762623,1.4420865512952388,9546
2014-Q1,2.436327951002227,2.2800000000000002,0.04593541202672606,1.4349302406619566,3592
2014-Q2,2.3010117548278757,2.13,0.030226700251889168,1.3242827473738252,2382
2014-Q3,2.4000216450216447,2.24,0.03823953823953824,1.396735164338828,2772
2014-Q4,2.324192519056905,2.09,0.03297287714944159,1.373464490282535,5641
2015-Q1,2.350578947368421,2.2199999999999998,0.03640350877192983,1.4258097169785564,2280
2015-Q2,2.4761923076923074,2.365,0.057692307692307696,1.4704482968764943,1300
2015-Q3,2.49075117370892,2.4400000000000004,0.046948356807511735,1.4352443452038408,1491
2015-Q4,2.419874913134121,2.34,0.0472550382209868,1.4409041775366276,1439
2016-Q2,2.289950222687975,2.1100000000000003,0.028556457951270632,1.3277404708018672,3817
2016-Q3,2.3455366831799953,2.1900000000000004,0.0377447511205473,1.3640564162059197,4239
2016-Q4,2.4019559902200487,2.255,0.04523227383863081,1.4033482797050627,818
2017-Q1,2.404051724137931,2.525,0.02586206896551724,1.4465344903621802,116
2017-Q2,2.4229508890770535,2.375,0.04403048264182896,1.41050494082957,2362
2017-Q4,2.3938335809806834,2.24,0.0475482912332838,1.4082899905261528,673
2018-Q1,2.293061122244489,2.065,0.03406813627254509,1.3247475269998157,1996
2020-Q3,2.5448030715878125,2.33,0.0681198910081744,1.6134120003870043,4037
2021-Q4,2.2633363907360695,2.04,0.0316441183214859,1.2996181821165629,4361
2022-Q1,2.807839643652561,2.8,0.04955456570155902,1.4673749504671167,5388
2022-Q2,2.4630269345874303,2.37,0.049166310389055154,1.4787706739000468,2339
2022-Q3,2.4116432337434093,2.16,0.05272407732864675,1.4454146719706655,1138
2022-Q4,2.426987815245112,2.25,0.05610654576367243,1.5270539480997158,3529
2023-Q1,2.380855,2.34,0.03475,1.3325787289969024,4000
2023-Q2,2.3515488069414316,2.2,0.03210412147505423,1.3423343171447555,2305
2023-Q4,2.4474462705436157,2.255,0.04993678887484197,1.4339650639521417,1582
2024-Q1,2.471012931034483,2.295,0.061422413793103446,1.4976365172376849,928
2024-Q2,2.4304564714946073,2.5,0.02889060092449923,1.363640711342505,5192
2024-Q3,2.3311962701842166,2.1399999999999997,0.03798044120991585,1.3832508857313974,4397
2024-Q4,2.383978858350951,2.1950000000000003,0.04630021141649049,1.4616741189461504,4730
2025-Q1,2.42656035526847,2.4299999999999997,0.04077513120710537,1.4006242183902342,2477
2025-Q2,2.4070181818181817,2.1900000000000004,0.04755244755244755,1.4405879931829877,3575
2025-Q4,2.3422916217962526,2.09,0.04092181779022184,1.3947242999039782,4643
