period,emdash_per_1k,exclamation_per_1k,question_per_1k,semicolon_per_1k,colon_per_1k,comma_per_1k,ellipsis_per_1k,parentheses_per_1k,quotes_per_1k,total_words
2006-09,7.423117709437964,2.1208907741251326,3.1813361611876987,1.0604453870625663,3.1813361611876987,57.26405090137858,0.0,8.48356309650053,55.143160127253445,943
2006-10,4.870362412261853,2.5784271594327457,3.867640739149119,0.28649190660363844,10.743446497636441,44.549491476865775,0.8594757198109153,11.1731843575419,55.292937974502216,6981
2006-11,7.714435146443514,2.3535564853556483,2.74581589958159,0.9152719665271967,6.2761506276150625,50.2092050209205,0.3922594142259414,12.160041841004183,50.07845188284519,7648
2006-12,6.808815624440064,3.046049095144239,3.762766529295825,1.4334348683031715,8.958967926894822,44.79483963447411,0.8958967926894822,10.750761512273787,52.67873141014155,5581
2007-01,6.482866709410843,1.9234879247702503,3.205813207950417,6.055424948350788,13.393175179881743,40.96316876825533,0.35620146755004634,25.860226544133365,59.2006839068177,14037
2007-02,6.221300548066953,2.962524070508073,2.962524070508073,2.6662716634572656,7.554436379795586,40.734705969486,0.444378610576211,16.738260998370613,55.102947711450156,6751
2007-03,4.024444775674467,2.8320166939931433,3.5772842450439706,69.16082873751677,39.05201967506335,32.7917722462364,0.3726337755254136,77.50782530928603,104.48651065732598,13418
2007-04,15.90324730978002,2.475954670983716,3.33301590324731,4.3805351871250355,9.046757451671269,42.66260356156556,0.09522902580706599,17.04599561946481,54.851918864870015,10501
2007-05,6.456140350877193,3.789473684210526,3.508771929824561,2.245614035087719,7.298245614035087,44.49122807017544,0.7017543859649122,13.473684210526315,43.92982456140351,7125
2007-06,6.061189147585146,1.8279776794304408,2.886280546469117,1.539349624783529,8.177794881662498,42.62074273619396,0.28862805464691166,9.524725803348085,40.888974408312485,10394
2007-07,6.615120274914089,3.350515463917526,1.9759450171821307,2.2336769759450172,9.621993127147766,52.577319587628864,0.25773195876288657,10.738831615120274,45.27491408934708,11640
2007-08,22.00488997555012,3.614329754438184,3.082810672903157,5.740406080578293,13.606888487296693,41.03327309450409,1.063038163070054,14.457319017752736,53.68342723503773,9407
2007-09,4.984828781967924,4.768097095795405,2.167316861725184,1.3003901170351106,6.501950585175552,45.51365409622887,1.083658430862592,10.836584308625921,49.19809276116168,4614
2007-10,102.2590723383802,2.0427781783225187,3.9653929343907715,1.6822879115597211,8.050949291035808,39.65392934390771,1.0814708002883922,10.334054313866858,36.5296803652968,8322
2007-11,5.167527921320221,2.5004167361226872,2.667111185197533,4.834139023170529,9.501583597266212,46.67444574095683,0.16669444907484582,21.50358393065511,55.00916819469912,5999
2007-12,4.4033465433729635,2.42184059885513,3.963011889035667,1.321003963011889,6.825187142228094,46.23513870541612,0.0,8.806693086745927,51.51915455746367,4542
2008-01,5.758473181967752,3.7841395195788086,2.1388614675880224,0.9871668311944719,5.100361961171438,42.11911813096413,0.49358341559723595,13.16222441592629,46.89042448173741,6078
2008-02,5.604773097089134,3.9775809076116433,5.062375700596637,3.9775809076116433,11.571144458506598,43.03019345507141,0.5423973964924969,11.571144458506598,38.871813415295605,5531
2008-03,4.199160167966407,3.119376124775045,3.239352129574085,2.3995200959808036,7.078584283143371,44.87102579484103,0.0,7.678464307138572,37.9124175164967,8335
2008-04,4.432769660154326,5.253652930553275,5.089476276473485,0.4925299622393695,8.865539320308653,46.954523066819895,0.3283533081595797,11.16401247742571,35.46215728123461,6091
2008-05,7.903300790330079,3.099333643266698,3.099333643266698,2.789400278940028,9.298000929800093,41.37610413761042,0.4649000464900047,8.678134201146754,39.82643731597707,6453
2008-06,5.193148688046647,4.099854227405247,2.824344023323615,2.186588921282799,7.470845481049563,48.2871720116618,0.09110787172011661,9.657434402332362,42.09183673469388,10976
2008-07,5.507281850446701,1.5909925345734917,4.038673356994248,1.8357606168155673,9.301187125198874,43.93587076245257,1.2238404112103782,8.322114796230572,41.61057398115286,8171
2008-08,6.473364801078894,4.450438300741739,2.2926500337154416,2.0229265003371544,6.338503034389751,47.201618341200266,1.078894133513149,7.282535401213756,43.69521240728253,7415
2008-09,7.862033984275933,6.086735987826529,5.325893989348213,1.014455997971088,7.101191985797617,46.41136190717728,0.507227998985544,6.5939639868120725,40.07101191985798,3943
2008-10,8.904888215233042,3.694581280788177,1.799924213717317,2.084122773777946,9.283819628647215,52.1978021978022,0.852595680181887,9.662751042061387,48.69268662372111,10556
2008-11,7.59392486011191,4.396482813749,3.1974420463629096,0.7993605115907274,6.1950439648281375,45.763389288569144,1.1990407673860912,11.390887290167866,41.56674660271783,5004
2008-12,5.876131155247385,2.4679750852039017,1.4102714772593723,2.703020331413797,8.109060994241391,51.122341050652246,0.7051357386296861,8.461628863556234,47.83170760371371,8509
2009-01,9.693558474046279,3.75234521575985,3.75234521575985,2.9706066291432145,4.377736085053158,49.249530956848034,0.46904315196998125,7.191994996873046,40.025015634771734,6396
2009-02,6.685768863419293,7.163323782234957,3.8204393505253105,4.7755491881566385,6.685768863419293,53.48615090735434,0.4775549188156638,17.191977077363898,43.45749761222541,2094
2009-03,9.969537524231514,2.7693159789531983,3.0462475768485184,0.8307947936859595,4.153973968429797,41.26280808640266,0.5538631957906397,11.077263915812793,41.26280808640266,3611
2009-04,7.592190889370932,4.1576283441793205,1.4461315979754157,3.4345625451916124,5.603759942154736,44.46854663774403,0.7230657989877078,10.12292118582791,44.10701373825018,5532
2009-05,7.958477508650518,4.844290657439446,0.6920415224913494,1.7301038062283736,5.536332179930795,42.90657439446366,0.3460207612456747,13.840830449826989,40.48442906574394,2890
2009-06,8.146234849990066,3.5763957878005166,2.9803298231670974,1.3908205841446455,5.761970991456388,42.718060798728395,0.397377309755613,13.908205841446454,35.16789191337175,5033
2009-07,6.71019223793979,3.8084874863982594,4.17120058034095,7.072905331882481,11.244105912223432,46.42727602466449,0.18135654697134568,17.59158505622053,44.613710554951034,5514
2009-08,7.828401440425865,2.3485204321277595,3.7576326914044156,2.035384374510725,6.419289181149209,45.56129638327854,0.3131360576170346,7.202129325191796,38.82887114451229,6387
2009-09,7.407407407407407,3.2679738562091507,1.5250544662309369,3.485838779956427,7.843137254901961,40.95860566448802,0.2178649237472767,6.1002178649237475,39.651416122004356,4590
2009-10,4.9658597144630665,6.828057107386716,1.86219739292365,3.1036623215394163,7.034967928822677,43.45127250155183,0.4138216428719222,11.58700600041382,42.62362921580799,4833
2009-11,6.858710562414267,5.486968449931413,0.0,5.486968449931413,9.602194787379974,48.010973936899866,0.0,8.23045267489712,50.75445816186557,729
2009-12,5.703992794956469,6.604623236265385,2.7018913239267484,1.2008405884118882,6.604623236265385,45.031522065445806,0.9006304413089161,12.608826178324826,39.32752927048934,3331
2010-01,6.680522565320665,3.859857482185273,1.336104513064133,2.9691211401425175,6.383610451306413,50.02969121140142,0.5938242280285035,8.610451306413301,37.70783847980997,6736
2010-02,5.868069607446378,5.058680696074464,3.2375556454876566,0.8093889113719142,8.29623634156212,51.59854309995953,0.20234722784297854,13.759611493322542,33.994334277620396,4942
2010-03,3.8515406162464982,4.901960784313725,1.0504201680672267,2.4509803921568625,10.854341736694677,51.470588235294116,0.35014005602240894,8.403361344537814,42.36694677871148,2856
2010-04,7.484076433121019,4.140127388535031,3.184713375796178,6.210191082802547,10.350318471337578,48.2484076433121,0.1592356687898089,17.197452229299362,37.5796178343949,6280
2010-05,7.329842931937173,3.141361256544503,1.0471204188481675,0.0,4.18848167539267,38.7434554973822,0.0,8.37696335078534,38.7434554973822,955
2010-06,7.332722273143904,6.416131989000917,0.916590284142988,0.916590284142988,2.749770852428964,44.91292392300642,0.0,14.665444546287809,40.329972502291476,1091
2010-07,3.875968992248062,5.813953488372093,5.813953488372093,0.0,5.813953488372093,63.95348837209302,0.0,11.627906976744185,48.44961240310077,516
2010-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.3333333333333,0.0,6
2010-09,7.109004739336493,1.1848341232227488,4.739336492890995,2.3696682464454977,8.293838862559241,23.696682464454977,0.0,7.109004739336493,47.39336492890995,844
2010-10,10.380622837370241,1.3840830449826989,0.0,0.6920415224913494,4.844290657439446,35.29411764705882,0.0,6.920415224913494,33.21799307958477,1445
2010-11,5.167958656330749,6.459948320413437,5.167958656330749,1.2919896640826873,5.167958656330749,36.17571059431525,0.0,2.5839793281653747,46.51162790697674,774
2010-12,2.78379214351995,1.2372409526755335,1.2372409526755335,4.021033096195484,4.948963810702134,32.78688524590164,0.30931023816888337,8.042066192390967,30.003093102381687,3233
2011-01,5.526770293609672,2.763385146804836,2.4179620034542313,2.0725388601036268,7.253886010362694,34.542314335060446,0.3454231433506045,16.580310880829014,48.01381692573402,2895
2011-02,4.28849902534113,1.7543859649122806,4.418453541260559,3.443794671864847,13.64522417153996,54.64587394411956,1.4944769330734242,21.052631578947366,49.252761533463286,15390
2011-03,4.10958904109589,0.0,2.054794520547945,30.136986301369863,2.054794520547945,38.35616438356164,0.684931506849315,67.12328767123287,33.56164383561644,1460
2011-04,3.3557046979865772,3.3557046979865772,13.422818791946309,3.3557046979865772,10.06711409395973,36.91275167785235,0.0,6.7114093959731544,46.97986577181208,298
2011-05,9.09090909090909,0.0,0.0,0.0,2.5974025974025974,40.25974025974026,0.0,5.194805194805195,38.96103896103896,770
2011-06,2.290076335877863,2.290076335877863,0.0,3.053435114503817,5.34351145038168,42.74809160305344,0.7633587786259542,9.160305343511451,38.93129770992367,1310
2011-07,6.346328195829556,2.7198549410698094,0.9066183136899365,0.0,12.692656391659112,57.116953762466,0.9066183136899365,7.252946509519492,54.39709882139619,1103
2011-08,5.35077288941736,0.0,3.5671819262782405,1.7835909631391202,2.3781212841854935,48.75148632580262,0.0,6.539833531510107,39.239001189060644,1682
2011-09,4.455245038477116,3.240178209801539,2.025111381125962,5.265289590927501,2.025111381125962,40.502227622519236,0.8100445524503848,10.530579181855002,39.69218307006885,2469
2011-10,5.122674575357239,4.853060124022648,1.6176867080075494,3.235373416015099,4.853060124022648,42.05985440819628,0.26961445133459155,13.480722566729577,40.44216770018873,3709
2011-11,3.5429583702391496,5.314437555358724,0.8857395925597874,0.8857395925597874,4.428697962798937,42.515500442869794,0.8857395925597874,7.085916740478299,29.229406554472984,1129
2011-12,5.758157389635317,5.758157389635317,0.0,11.516314779270633,7.677543186180422,38.38771593090211,0.9596928982725528,47.02495201535508,39.34740882917466,1042
2012-01,5.291005291005291,0.0,2.6455026455026456,2.6455026455026456,6.613756613756614,26.455026455026456,0.0,10.582010582010582,64.81481481481481,756
2012-03,5.593803786574871,0.43029259896729777,1.721170395869191,2.581755593803787,3.87263339070568,52.06540447504303,0.0,11.187607573149743,43.88984509466437,2324
2012-04,8.557457212713937,4.4824775876120615,6.519967400162999,2.852485737571312,5.704971475142624,44.82477587612062,0.8149959250203749,12.224938875305623,34.229828850855746,2454
2012-05,4.429133858267717,2.4606299212598426,1.968503937007874,2.952755905511811,4.675196850393701,45.767716535433074,0.24606299212598426,11.318897637795276,33.218503937007874,4064
2012-06,4.405286343612334,2.202643171806167,4.405286343612334,4.405286343612334,8.810572687224669,33.03964757709251,0.0,13.215859030837002,33.03964757709251,454
