period,first_singular_ratio,first_plural_ratio,second_ratio,third_singular_ratio,third_plural_ratio,pronoun_density,total_pronouns,total_words
2006-09,0.5462962962962963,0.09259259259259259,0.10185185185185185,0.23148148148148148,0.027777777777777776,11.452810180275716,108,943
2006-10,0.4362549800796813,0.02390438247011952,0.15139442231075698,0.2968127490039841,0.09163346613545817,7.190946855751325,502,6981
2006-11,0.4360587002096436,0.0859538784067086,0.15513626834381553,0.22012578616352202,0.10272536687631027,6.236924686192468,477,7648
2006-12,0.558695652173913,0.043478260869565216,0.06304347826086956,0.25869565217391305,0.07608695652173914,8.242250492743237,460,5581
2007-01,0.3309941520467836,0.05497076023391813,0.20116959064327486,0.2935672514619883,0.11929824561403508,6.091045095105792,855,14037
2007-02,0.4168260038240918,0.05162523900573614,0.14149139579349904,0.27724665391969405,0.11281070745697896,7.74700044437861,523,6751
2007-03,0.45616438356164385,0.06164383561643835,0.1095890410958904,0.24794520547945206,0.12465753424657534,5.440453122671038,730,13418
2007-04,0.3800978792822186,0.057096247960848286,0.1598694942903752,0.2805872756933116,0.12234910277324633,5.837539281973146,613,10501
2007-05,0.4660377358490566,0.033962264150943396,0.1509433962264151,0.24339622641509434,0.10566037735849057,7.438596491228071,530,7125
2007-06,0.3097913322632424,0.07865168539325842,0.17174959871589085,0.35313001605136435,0.08667736757624397,5.993842601500866,623,10394
2007-07,0.35600578871201155,0.053545586107091175,0.15340086830680175,0.2952243125904486,0.14182344428364688,5.936426116838487,691,11640
2007-08,0.39222042139384117,0.0713128038897893,0.17017828200972449,0.25121555915721233,0.11507293354943274,6.558945466142234,617,9407
2007-09,0.38596491228070173,0.017543859649122806,0.1871345029239766,0.2982456140350877,0.1111111111111111,7.412223667100131,342,4614
2007-10,0.30947775628626695,0.08897485493230174,0.1528046421663443,0.30174081237911027,0.1470019342359768,6.212448930545541,517,8322
2007-11,0.37988826815642457,0.0782122905027933,0.1564245810055866,0.23743016759776536,0.14804469273743018,5.96766127687948,358,5999
2007-12,0.5,0.030821917808219176,0.09931506849315068,0.273972602739726,0.0958904109589041,6.428885953324527,292,4542
2008-01,0.36936936936936937,0.06981981981981981,0.17342342342342343,0.24774774774774774,0.13963963963963963,7.305034550839092,444,6078
2008-02,0.436046511627907,0.11627906976744186,0.09011627906976744,0.29069767441860467,0.06686046511627906,6.219490146447297,344,5531
2008-03,0.3739424703891709,0.09644670050761421,0.15228426395939088,0.2707275803722504,0.1065989847715736,7.090581883623276,591,8335
2008-04,0.4088983050847458,0.01694915254237288,0.23728813559322035,0.2309322033898305,0.1059322033898305,7.749138072566081,472,6091
2008-05,0.376,0.08266666666666667,0.184,0.24266666666666667,0.11466666666666667,5.8112505811250585,375,6453
2008-06,0.41359773371104813,0.04815864022662889,0.11473087818696884,0.26912181303116145,0.15439093484419264,6.432215743440234,706,10976
2008-07,0.3538767395626243,0.09145129224652088,0.15904572564612326,0.26043737574552683,0.13518886679920478,6.155917268388202,503,8171
2008-08,0.34879406307977734,0.08163265306122448,0.13172541743970315,0.3228200371057514,0.1150278293135436,7.269049224544842,539,7415
2008-09,0.375,0.05303030303030303,0.14393939393939395,0.25757575757575757,0.17045454545454544,6.695409586609181,264,3943
2008-10,0.38117283950617287,0.05401234567901234,0.18055555555555555,0.27314814814814814,0.1111111111111111,6.138688897309587,648,10556
2008-11,0.3659305993690852,0.0914826498422713,0.1167192429022082,0.29337539432176657,0.13249211356466878,6.334932054356515,317,5004
2008-12,0.3996316758747698,0.07734806629834254,0.07734806629834254,0.27255985267034993,0.1731123388581952,6.38147843459866,543,8509
2009-01,0.2972972972972973,0.10540540540540541,0.13243243243243244,0.35135135135135137,0.11351351351351352,5.784865540963102,370,6396
2009-02,0.6119402985074627,0.05223880597014925,0.09701492537313433,0.208955223880597,0.029850746268656716,6.399235912129895,134,2094
2009-03,0.4103585657370518,0.05976095617529881,0.11952191235059761,0.2749003984063745,0.13545816733067728,6.9509831071725285,251,3611
2009-04,0.4086687306501548,0.04643962848297214,0.10835913312693499,0.30340557275541796,0.13312693498452013,5.838756326825742,323,5532
2009-05,0.5522388059701493,0.04975124378109453,0.14427860696517414,0.22885572139303484,0.024875621890547265,6.955017301038062,201,2890
2009-06,0.2972972972972973,0.06563706563706563,0.16988416988416988,0.305019305019305,0.16216216216216217,5.1460361613351875,259,5033
2009-07,0.38666666666666666,0.07,0.16666666666666666,0.23666666666666666,0.14,5.44069640914037,300,5514
2009-08,0.4454022988505747,0.09195402298850575,0.09482758620689655,0.2614942528735632,0.10632183908045977,5.448567402536402,348,6387
