period,avg_paragraph_length,median_paragraph_length,min_paragraph_length,max_paragraph_length,p25_paragraph_length,p75_paragraph_length,paragraph_count
2015-11,56.38095238095238,53.0,3,106,37.0,77.0,21
2015-12,61.0,60.0,36,83,46.0,80.0,5
2016-04,45.285714285714285,44.0,3,129,9.0,76.25,28
2016-05,46.52173913043478,36.0,9,97,28.0,75.5,23
2016-06,52.15625,53.0,2,126,31.75,70.0,32
2016-07,64.36,60.0,29,110,48.0,81.0,25
2016-08,72.19047619047619,51.0,2,191,39.0,83.0,21
2016-09,110.16666666666667,96.5,13,319,66.0,129.25,12
2016-11,86.1,89.5,22,125,75.75,114.75,10
2017-01,41.666666666666664,45.0,15,65,30.0,55.0,3
2017-04,61.775,52.0,14,190,32.5,78.5,40
2017-12,100.14285714285714,73.0,47,196,65.5,127.0,7
2018-01,71.03448275862068,67.0,11,184,41.0,98.0,29
2020-07,65.25,72.5,12,100,50.0,90.75,8
2020-08,32.05042016806723,22.0,3,121,9.0,49.5,119
2021-11,58.4125,48.0,3,223,24.75,79.0,80
2022-01,518.6,55.0,52,2345,54.0,87.0,5
2022-02,65.54347826086956,62.5,2,156,37.0,93.0,46
2022-04,84.48275862068965,73.0,27,281,54.0,111.0,29
2022-08,67.94444444444444,69.0,5,121,52.5,91.0,18
2022-10,61.83720930232558,58.0,7,245,33.0,83.0,43
2022-12,93.9090909090909,102.0,23,135,64.5,126.5,11
2023-01,72.6,72.0,3,119,60.5,85.5,15
2023-02,48.02564102564103,50.0,3,120,23.0,63.5,39
2023-03,74.8125,72.0,3,193,23.75,102.25,16
2023-04,61.388888888888886,55.0,3,151,24.25,101.25,18
2023-05,100.0,75.0,40,323,49.0,93.0,13
2023-10,93.8,88.0,57,126,78.0,120.0,5
2023-11,85.28571428571429,78.0,34,195,40.75,115.25,14
2024-01,52.76923076923077,46.0,2,151,39.0,66.0,13
2024-03,40.57142857142857,34.0,16,79,21.5,56.0,7
2024-04,37.88652482269504,29.0,1,150,12.0,54.0,141
2024-07,57.833333333333336,47.5,6,202,29.25,83.5,30
2024-08,69.0,57.5,15,226,45.25,91.5,42
2024-10,47.611111111111114,43.5,21,75,30.5,64.75,18
2024-12,62.41538461538462,63.0,2,153,35.0,84.0,65
2025-02,29.333333333333332,29.0,17,43,18.5,39.5,6
2025-03,92.15384615384616,92.5,5,264,31.25,118.5,26
2025-04,94.72727272727273,96.0,60,126,79.5,112.0,11
2025-05,50.06896551724138,49.0,3,117,29.0,74.0,29
2025-06,97.0,91.0,19,220,56.0,118.0,13
2025-11,56.0,44.0,17,104,33.0,81.0,13
2025-12,67.31147540983606,66.0,3,175,46.0,89.0,61
