period,mean_rarity,median_rarity,rare_word_ratio,std_rarity,word_count
2006,2.3842950378636907,2.24,0.04538660821044241,1.4100615293594823,20072
2007,2.4335373091442327,2.3600000000000003,0.04733123941066315,1.4506719181441377,100927
2008,2.352756005969862,2.2199999999999998,0.03878002984930913,1.384879398385893,83084
2009,2.3714284245378083,2.24,0.041191107820758015,1.4245821729055672,48627
2010,2.3261849465411033,2.1399999999999997,0.0379168731855838,1.3887113242764795,28246
2011,2.2972472177304293,2.08,0.03820666476426012,1.386811549193938,31539
2012,2.374926526760437,2.24,0.04340987731991192,1.400432943772622,22253
2013,2.413395101332226,2.2800000000000002,0.04909989810167189,1.4627939236962888,26497
2014,2.362961701536109,2.1900000000000004,0.03676930562313199,1.3866467787700294,14387
2015,2.4230844854070663,2.33,0.04546850998463902,1.4415107210010039,6510
2016,2.326827811584404,2.16,0.034482758620689655,1.352737189669723,8874
2017,2.4160361789907965,2.34,0.04411298000634719,1.411427158548903,3151
2018,2.293061122244489,2.065,0.03406813627254509,1.3247475269998157,1996
2020,2.5448030715878125,2.33,0.0681198910081744,1.6134120003870043,4037
2021,2.2633363907360695,2.04,0.0316441183214859,1.2996181821165629,4361
2022,2.597946587058254,2.59,0.05163788930127481,1.496205680327464,12394
2023,2.3856472676556355,2.26,0.03702294915684037,1.3567503665306664,7887
2024,2.3898812881222535,2.2800000000000002,0.03889289696333705,1.4093529200494408,15247
2025,2.3834446002805048,2.21,0.043104254324450676,1.4120533393227852,10695
