period,avg_sentence_length,clause_density,sentence_count,std_sentence_length
2006-Q3,13.608695652173912,1.8115942028985508,69,9.368800197424239
2006-Q4,16.60608552631579,1.7582236842105263,1216,10.98265359881812
2007-Q1,20.676950998185117,2.453720508166969,1653,36.598618248961685
2007-Q2,18.840511440107672,1.895693135935397,1486,12.402437599901557
2007-Q3,18.705324580598102,1.9343544857768054,1371,13.450315171526388
2007-Q4,19.13705583756345,1.9248730964467005,985,14.938877072414092
2008-Q1,19.295256534365926,1.9351403678606003,1033,13.777759859793319
2008-Q2,18.692919649960224,1.9164677804295942,1257,12.653495653584356
2008-Q3,18.219421101774042,1.9075630252100841,1071,12.079005253697222
2008-Q4,18.982636148382003,1.9834254143646408,1267,13.512530885060118
2009-Q1,19.821311475409836,2.042622950819672,610,13.022145258462265
2009-Q2,20.28205128205128,1.9939668174962293,663,14.02380310076888
2009-Q3,19.955205811138015,2.0314769975786926,826,13.732102268255426
2009-Q4,19.029978586723768,2.0428265524625266,467,13.27098397373884
2010-Q1,20.452112676056338,2.159154929577465,710,13.935963801829267
2010-Q2,18.652466367713004,1.9170403587443947,446,14.120329481968973
2010-Q3,18.213333333333335,1.9066666666666667,75,13.10398751864824
2010-Q4,18.660958904109588,1.856164383561644,292,12.30400242981249
2011-Q1,18.38175046554935,1.999068901303538,1074,15.720305645845842
2011-Q2,22.865384615384617,2.230769230769231,104,13.487214524181848
2011-Q3,21.092369477911646,2.1847389558232932,249,14.245252221404783
2011-Q4,19.202614379084967,1.9248366013071896,306,13.264212738427064
2012-Q1,20.7972972972973,2.054054054054054,148,12.84573725670781
2012-Q2,20.50294117647059,2.0588235294117645,340,14.123925993403109
2012-Q3,22.79935275080906,2.1262135922330097,309,14.777482199738653
2012-Q4,19.151975683890576,1.9544072948328268,329,13.001098996778264
2013-Q1,20.608333333333334,1.9972222222222222,360,13.083044052003595
2013-Q2,19.45045045045045,1.954954954954955,333,14.374697535131784
2013-Q3,16.77391304347826,1.826086956521739,230,10.868031196099645
2013-Q4,16.68053244592346,1.7038269550748752,601,10.636847880268956
2014-Q1,16.945945945945947,1.8333333333333333,222,10.393031135201046
2014-Q2,17.762589928057555,1.6618705035971224,139,10.401011803170052
2014-Q3,19.28476821192053,1.9933774834437086,151,11.157142150782356
2014-Q4,17.5,1.8571428571428572,336,11.384251862823067
2015-Q1,18.253846153846155,1.8153846153846154,130,9.941607623024433
2015-Q2,16.023255813953487,1.8372093023255813,86,10.180894948766294
2015-Q3,18.44047619047619,1.7976190476190477,84,11.530860446228004
2015-Q4,16.373626373626372,1.7252747252747254,91,10.214887166114332
2016-Q2,17.068085106382977,1.8595744680851063,235,10.0790303988028
2016-Q3,18.763713080168777,1.8270042194092826,237,11.407815799640215
2016-Q4,15.375,1.4285714285714286,56,9.299697575727933
2017-Q1,20.833333333333332,1.5,6,10.960788698304922
2017-Q2,20.089430894308943,1.9024390243902438,123,11.255356903524303
2017-Q4,17.5,1.875,40,13.36413109783049
2018-Q1,15.139705882352942,1.6911764705882353,136,10.234150438976966
2020-Q3,14.972413793103449,1.6448275862068966,290,9.956072364754263
2021-Q4,15.59,1.67,300,9.158706240512357
2022-Q1,23.902127659574468,1.6297872340425532,235,34.787179647299524
2022-Q2,20.416666666666668,2.0416666666666665,120,13.827257701929025
2022-Q3,19.109375,1.828125,64,13.47812717366085
2022-Q4,17.585714285714285,1.9761904761904763,210,12.366420959474846
2023-Q1,16.22178988326848,1.7042801556420233,257,10.531841284552787
2023-Q2,15.616883116883116,1.7207792207792207,154,9.24851553686801
2023-Q4,17.50526315789474,1.8105263157894738,95,11.542939226357364
2024-Q1,16.0327868852459,1.6065573770491803,61,12.560629634832585
2024-Q2,20.074626865671643,2.0858208955223883,268,15.569596696083082
2024-Q3,16.85818181818182,1.7963636363636364,275,12.656506640087482
2024-Q4,16.714285714285715,1.8639455782312926,294,11.06382227195042
2025-Q1,22.743362831858406,2.0973451327433628,113,14.868020418644777
2025-Q2,19.97340425531915,2.0797872340425534,188,13.049591788935553
2025-Q4,18.18421052631579,1.8796992481203008,266,12.189292368176329
