period,emdash_per_1k,exclamation_per_1k,question_per_1k,semicolon_per_1k,colon_per_1k,comma_per_1k,ellipsis_per_1k,parentheses_per_1k,quotes_per_1k,total_words
2006,6.523897319529145,2.6001040041601664,3.4037725145369455,0.8509431286342364,8.320332813312532,47.227343639200114,0.661844655604406,11.29863376353236,52.7111993570652,21153
2007,15.662763466042154,2.7634660421545667,3.110070257611241,11.653395784543326,13.302107728337237,42.39812646370024,0.468384074941452,23.007025761124122,56.63700234192037,106750
2008,6.225448530931979,3.6755415680779215,3.078266063265259,2.0215478624428567,8.028761112770209,46.61046151018814,0.6087615722129057,9.384117065998943,42.521421515701455,87062
2009,7.597173144876325,4.20102080879466,2.748331370239497,3.0231645072634468,6.57636435021594,44.974479780133485,0.43188064389477815,11.05221829603455,40.9108755398508,50940
2010,6.166183705101422,3.9086191791899725,2.1901745400633468,2.965159377316531,7.547678414987534,46.02736033425433,0.2695599433924119,11.254127636633196,37.26666217400095,29678
2011,4.66067294103497,2.4055086147277267,3.0369546260937548,4.480259794930391,9.020657305228974,47.629070571608985,0.9622034458910906,19.244068917821814,44.77252909161981,33257
2012,6.322894860511812,2.3924467039774426,2.9478361174007772,2.6060580168325713,5.425727346520271,45.84098773871064,0.34177810056820607,14.61101379929081,35.03225530824112,23407
2013,6.33161851998417,2.878008418174623,2.0505809979494187,2.014605892722236,5.93589236248516,44.64510558693384,0.46767636795337625,14.282116775191566,38.4573874878584,27797
2014,4.855983502960154,1.92908933679239,2.394731590500898,1.5964877270005986,5.454666400585379,44.169493780349896,0.6652032195835827,12.505820528171355,30.665868422803165,15033
2015,3.8274694538495506,0.4416310908287943,2.649786544972766,2.944207272191962,3.974679817459149,41.071691447077875,0.1472103636095981,5.44678345355513,28.558810540262034,6793
2016,1.8240343347639485,0.9656652360515021,1.1802575107296138,1.9313304721030042,3.9699570815450644,42.38197424892704,0.1072961373390558,4.721030042918455,28.969957081545065,9320
2017,3.0330603579011224,1.213224143160449,3.6396724294813465,2.426448286320898,5.45950864422202,38.51986654534425,0.9099181073703366,6.672732787382469,21.231422505307854,3297
2018,4.368932038834951,0.970873786407767,4.854368932038835,1.941747572815534,4.854368932038835,39.320388349514566,0.0,2.912621359223301,36.89320388349515,2060
2020,7.369875633348688,1.6121602947950255,2.5333947489636115,0.921234454168586,31.782588668816217,37.309995393827734,1.842468908337172,2.763703362505758,4.145555043758637,4342
2021,7.697241821680565,0.4276245456489203,1.2828736369467608,1.9243104554201413,5.772931366260424,42.33483001924311,0.4276245456489203,6.414368184733804,15.39448364336113,4677
2022,4.23533035576775,2.002156168181118,4.697366394578777,2.002156168181118,24.872940089326967,41.96827352533498,0.23101801940551364,5.236408439858309,23.486831972893885,12986
2023,4.126714407088239,2.548853016142736,4.369462313387547,1.456487437795849,4.126714407088239,37.504551523243116,0.12137395314965409,7.282437188979245,33.135089209855565,8239
2024,6.348607706329751,1.4457225469859827,2.5771575837576215,1.1942925388145076,7.354327739015651,48.40027657300899,0.37714501225721286,7.417185241058521,26.588723364133507,15909
2025,6.717420510523959,3.045230631437528,1.7017465293327363,0.5373936408419168,4.478280340349306,46.4845499328258,0.08956560680698612,5.9113300492610845,26.33228840125392,11165
