period,mtld,ttr,unique_words,total_words
2006-Q3,162.3291319857313,0.477116704805492,417,874
2006-Q4,194.32051820274515,0.24606729867694552,4724,19198
2007-Q1,69.48722461553973,0.19180451600729606,6099,31798
2007-Q2,163.4200000034096,0.21541346334145883,5744,26665
2007-Q3,147.6211258828417,0.2223901323313184,5445,24484
2007-Q4,160.07170277784155,0.25311457174638485,4551,17980
2008-Q1,164.21019519652134,0.24339294192119007,4614,18957
2008-Q2,165.49813561358272,0.22589556228836213,5070,22444
2008-Q3,186.15732537902676,0.25135381480885743,4688,18651
2008-Q4,164.0542381710004,0.21978117401875652,5062,23032
2009-Q1,173.06860676338343,0.27688846586484384,3200,11557
2009-Q2,170.25613185340268,0.27316617349322536,3508,12842
2009-Q3,163.98419123165093,0.2604737043168216,4091,15706
2009-Q4,169.9271818796484,0.3054447312837362,2603,8522
2010-Q1,141.71028451269697,0.2531937928545651,3508,13855
2010-Q2,146.40504300019552,0.29851879984808205,2358,7899
2010-Q3,154.8601073200798,0.48482549317147194,639,1318
2010-Q4,144.40682776272206,0.3285659064553537,1700,5174
2011-Q1,109.17447838183728,0.19486242476354257,3626,18608
2011-Q2,148.8677869747482,0.4273730684326711,968,2265
2011-Q3,149.9798434131233,0.3397499503869815,1712,5039
2011-Q4,142.2100095020384,0.32859427759019016,1849,5627
2012-Q1,162.24666116586928,0.390111750761937,1152,2953
2012-Q2,168.74122594585629,0.3265183403487673,2172,6652
2012-Q3,185.18267964612556,0.3398868036937742,2282,6714
2012-Q4,170.95488331413884,0.3491742500842602,2072,5934
2013-Q1,175.15488431081414,0.3260654112983152,2303,7063
2013-Q2,155.00614388847399,0.3276224341360918,2027,6187
2013-Q3,162.08046841226542,0.3871926506349635,1433,3701
2013-Q4,135.94005805610948,0.26691808087156926,2548,9546
2014-Q1,168.84564109015218,0.41035634743875277,1474,3592
2014-Q2,152.61855487924603,0.40890008396305627,974,2382
2014-Q3,172.06176202575068,0.4116161616161616,1141,2772
2014-Q4,122.47476889014823,0.31146959758907994,1757,5641
2015-Q1,137.75,0.44035087719298244,1004,2280
2015-Q2,193.38006230529595,0.5330769230769231,693,1300
2015-Q3,183.7533150652523,0.5191146881287726,774,1491
2015-Q4,166.45791169413388,0.48783877692842254,702,1439
2016-Q2,153.30282972983125,0.3701860099554624,1413,3817
2016-Q3,173.6999375502966,0.372965322009908,1581,4239
2016-Q4,204.5,0.5660146699266504,463,818
2017-Q1,125.58933333333336,0.7413793103448276,86,116
2017-Q2,166.29584027011356,0.4487722269263336,1060,2362
2017-Q4,168.4921250399744,0.5839524517087668,393,673
2018-Q1,130.76904411033905,0.4218436873747495,842,1996
2020-Q3,124.21501762347512,0.3725538766410701,1504,4037
2021-Q4,144.13577366924426,0.3524421004356799,1537,4361
2022-Q1,48.31074101398278,0.33964365256124723,1830,5388
2022-Q2,156.9585312017154,0.43779392902949976,1024,2339
2022-Q3,180.75851285853474,0.5123022847100176,583,1138
2022-Q4,150.30045718116017,0.4057806744120147,1432,3529
2023-Q1,166.43549983283134,0.375,1500,4000
2023-Q2,166.8366977090012,0.4052060737527115,934,2305
2023-Q4,227.28756888017185,0.5063211125158028,801,1582
2024-Q1,205.13978268556303,0.5538793103448276,514,928
2024-Q2,113.16415824840905,0.3018104776579353,1567,5192
2024-Q3,137.4463408785248,0.3600181942233341,1583,4397
2024-Q4,150.76588717569913,0.35602536997885836,1684,4730
2025-Q1,196.90080690038954,0.4416633023819136,1094,2477
2025-Q2,167.67206484475372,0.3748251748251748,1340,3575
2025-Q4,157.75733882249065,0.35149687701916865,1632,4643
